epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2659.8,0.68291,0.56401,0.91276,0.85364,0.7035,0.75065,0.52364,0.81676,0.6368,0.92418,0.00058175,0.00058175,0.00058175
56,2709.94,0.6979,0.57164,0.9234,0.75896,0.70789,0.73452,0.4985,0.82753,0.65066,0.93083,0.000569375,0.000569375,0.000569375
57,2758.06,0.69127,0.58912,0.92001,0.76973,0.7175,0.73439,0.50368,0.84932,0.65805,0.94108,0.000557,0.000557,0.000557
58,2814.3,0.67937,0.55333,0.91757,0.70576,0.74837,0.73571,0.50003,0.84578,0.6441,0.94231,0.000544625,0.000544625,0.000544625
59,2871.35,0.69091,0.56124,0.91731,0.75997,0.71177,0.7346,0.4952,0.86754,0.65932,0.95677,0.00053225,0.00053225,0.00053225
60,2924.06,0.69193,0.53575,0.91091,0.7702,0.68117,0.74775,0.48938,0.87677,0.66053,0.95105,0.000519875,0.000519875,0.000519875
61,2976.63,0.68392,0.54462,0.90892,0.79024,0.68519,0.73752,0.49338,0.85597,0.64454,0.94357,0.0005075,0.0005075,0.0005075
62,3029.33,0.67678,0.55987,0.91123,0.67701,0.73119,0.72803,0.50024,0.83062,0.63457,0.93069,0.000495125,0.000495125,0.000495125
63,3080.9,0.6676,0.53311,0.9223,0.70135,0.68083,0.71361,0.49296,0.82179,0.63084,0.92764,0.00048275,0.00048275,0.00048275
64,3129.72,0.63918,0.51693,0.91499,0.77369,0.74755,0.74341,0.50657,0.81917,0.61392,0.92521,0.000470375,0.000470375,0.000470375
65,3180.86,0.66326,0.52656,0.90562,0.82701,0.71447,0.755,0.52749,0.81872,0.60746,0.92888,0.000458,0.000458,0.000458
66,3231.14,0.64029,0.52569,0.90465,0.7045,0.7503,0.75273,0.51759,0.82173,0.60892,0.93296,0.000445625,0.000445625,0.000445625
67,3280.81,0.65101,0.51415,0.90182,0.74414,0.6756,0.71363,0.4989,0.83933,0.64963,0.94091,0.00043325,0.00043325,0.00043325
68,3328.86,0.62888,0.51635,0.9013,0.72122,0.67443,0.72036,0.50764,0.8101,0.6506,0.92764,0.000420875,0.000420875,0.000420875
69,3378.52,0.63054,0.51136,0.8979,0.6549,0.76698,0.74568,0.52802,0.81085,0.61902,0.92642,0.0004085,0.0004085,0.0004085
70,3428.1,0.64288,0.50529,0.90571,0.75523,0.70114,0.75635,0.53785,0.80624,0.61331,0.92277,0.000396125,0.000396125,0.000396125
71,3479.3,0.6366,0.50876,0.8919,0.7425,0.7043,0.74553,0.53192,0.81478,0.63451,0.92236,0.00038375,0.00038375,0.00038375
72,3528.97,0.62423,0.52338,0.89688,0.75746,0.70418,0.74513,0.5162,0.81197,0.61116,0.91871,0.000371375,0.000371375,0.000371375
73,3576.52,0.63169,0.49527,0.89793,0.79016,0.70089,0.74621,0.52393,0.79953,0.60513,0.91508,0.000359,0.000359,0.000359
74,3628.57,0.61459,0.49946,0.89504,0.6955,0.75129,0.7423,0.52422,0.78803,0.59234,0.91232,0.000346625,0.000346625,0.000346625
75,3679.8,0.6223,0.48994,0.89946,0.76067,0.68795,0.74546,0.5291,0.78157,0.57836,0.91201,0.00033425,0.00033425,0.00033425
76,3727.52,0.61743,0.50091,0.90041,0.79396,0.7241,0.75861,0.5254,0.78084,0.559,0.91445,0.000321875,0.000321875,0.000321875
77,3775.97,0.59784,0.47288,0.88619,0.83989,0.68074,0.75103,0.51994,0.79128,0.57441,0.91325,0.0003095,0.0003095,0.0003095
78,3825.23,0.61418,0.47011,0.8963,0.82355,0.66496,0.72465,0.52027,0.78949,0.58722,0.91119,0.000297125,0.000297125,0.000297125
79,3871.41,0.60041,0.47907,0.89055,0.79678,0.70905,0.74879,0.53724,0.77066,0.57786,0.90836,0.00028475,0.00028475,0.00028475
80,3918.71,0.60658,0.4961,0.89438,0.74951,0.71177,0.74196,0.53106,0.78135,0.59416,0.91482,0.000272375,0.000272375,0.000272375
81,3969.52,0.61684,0.49942,0.89851,0.71265,0.73094,0.73791,0.52487,0.78923,0.61197,0.91902,0.00026,0.00026,0.00026
82,4020.6,0.61034,0.49361,0.89278,0.72913,0.69714,0.73577,0.5242,0.79491,0.63289,0.92378,0.000247625,0.000247625,0.000247625
83,4071.01,0.59486,0.47518,0.89823,0.73951,0.72707,0.74675,0.51186,0.79026,0.60517,0.91887,0.00023525,0.00023525,0.00023525
84,4120.55,0.61379,0.48882,0.88727,0.76186,0.72086,0.74694,0.5197,0.78341,0.60215,0.91309,0.000222875,0.000222875,0.000222875
85,4172.78,0.58805,0.46163,0.89353,0.74639,0.72086,0.74263,0.51989,0.78133,0.59352,0.91288,0.0002105,0.0002105,0.0002105
86,4225.23,0.59056,0.48061,0.8883,0.69824,0.74965,0.7422,0.51987,0.79528,0.58986,0.9175,0.000198125,0.000198125,0.000198125
87,4276.37,0.61154,0.474,0.8971,0.78638,0.70368,0.75365,0.52804,0.80337,0.59105,0.92089,0.00018575,0.00018575,0.00018575
