epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,8427.85,0.85863,0.45158,0.91746,0.85928,0.94344,0.96195,0.71687,0.97651,0.51142,0.9532,0.0007724,0.0007724,0.0007724
64,8555.23,0.85071,0.44941,0.91536,0.91229,0.92529,0.96541,0.72111,0.9925,0.50968,0.96257,0.0007526,0.0007526,0.0007526
65,8685.74,0.85545,0.45026,0.91187,0.91761,0.91676,0.96647,0.7215,0.98722,0.493,0.9584,0.0007328,0.0007328,0.0007328
66,8815.41,0.84893,0.45298,0.90644,0.91818,0.91996,0.96803,0.72093,0.99613,0.49298,0.96454,0.000713,0.000713,0.000713
67,8951,0.85146,0.4481,0.91058,0.8903,0.94237,0.96765,0.72446,1.00084,0.4906,0.96643,0.0006932,0.0006932,0.0006932
68,9079.32,0.8291,0.43423,0.90537,0.91618,0.93323,0.96707,0.72636,0.97553,0.49816,0.95454,0.0006734,0.0006734,0.0006734
69,9208,0.83506,0.44202,0.91106,0.91685,0.92963,0.96422,0.71759,1.00435,0.50424,0.96395,0.0006536,0.0006536,0.0006536
70,9338.07,0.84622,0.43723,0.90921,0.93624,0.91355,0.96796,0.72174,0.9897,0.49088,0.96042,0.0006338,0.0006338,0.0006338
71,9469.99,0.85382,0.44456,0.90664,0.92015,0.93468,0.96817,0.72755,0.98317,0.47882,0.95794,0.000614,0.000614,0.000614
72,9602.94,0.84901,0.44207,0.91253,0.91728,0.93494,0.96613,0.72343,0.98151,0.48464,0.95585,0.0005942,0.0005942,0.0005942
73,9734.98,0.83628,0.43501,0.90485,0.92792,0.92057,0.97219,0.72945,0.97269,0.48191,0.95151,0.0005744,0.0005744,0.0005744
74,9869.59,0.83603,0.43747,0.90087,0.91749,0.91889,0.96686,0.72541,0.99077,0.48113,0.96166,0.0005546,0.0005546,0.0005546
75,10001.9,0.81773,0.42777,0.90501,0.91718,0.93372,0.96654,0.72863,0.97975,0.47508,0.95756,0.0005348,0.0005348,0.0005348
76,10137.4,0.82688,0.42361,0.90496,0.89882,0.92916,0.9645,0.72768,0.98218,0.484,0.9558,0.000515,0.000515,0.000515
77,10273.6,0.81328,0.41911,0.90092,0.91492,0.93383,0.97018,0.72101,0.98677,0.47259,0.95769,0.0004952,0.0004952,0.0004952
78,10405.2,0.82028,0.41717,0.90372,0.91501,0.93074,0.97012,0.71966,1.00912,0.48323,0.96884,0.0004754,0.0004754,0.0004754
79,10533.2,0.8183,0.41982,0.89761,0.9122,0.9317,0.96742,0.7347,0.99197,0.47009,0.961,0.0004556,0.0004556,0.0004556
80,10665,0.80096,0.41289,0.89322,0.91866,0.9317,0.97156,0.73375,0.9864,0.46449,0.95933,0.0004358,0.0004358,0.0004358
81,10793.1,0.79347,0.40542,0.89562,0.91421,0.91782,0.96656,0.72493,0.99613,0.48413,0.96379,0.000416,0.000416,0.000416
82,10923.9,0.80152,0.41762,0.89436,0.90545,0.95049,0.97122,0.72836,0.97957,0.46793,0.95756,0.0003962,0.0003962,0.0003962
83,11058.9,0.80011,0.4104,0.89623,0.9118,0.93782,0.9679,0.72573,0.988,0.47627,0.96022,0.0003764,0.0003764,0.0003764
84,11190.6,0.79425,0.40361,0.89701,0.9224,0.91782,0.96657,0.73099,0.97443,0.46842,0.95654,0.0003566,0.0003566,0.0003566
85,11319.2,0.78068,0.40754,0.88891,0.90405,0.94517,0.96395,0.7237,0.9809,0.4743,0.96057,0.0003368,0.0003368,0.0003368
86,11447.8,0.78825,0.40026,0.89353,0.90877,0.93551,0.96351,0.72407,0.98634,0.47956,0.9605,0.000317,0.000317,0.000317
87,11581.7,0.77896,0.40623,0.88777,0.92306,0.92316,0.96388,0.72853,0.97437,0.46613,0.95778,0.0002972,0.0002972,0.0002972
88,11986.8,0.78289,0.40641,0.89113,0.91525,0.94023,0.96641,0.72958,0.97951,0.46316,0.96171,0.0002774,0.0002774,0.0002774
89,12465.2,0.77624,0.39346,0.89031,0.90904,0.9413,0.97081,0.73248,0.97981,0.47685,0.96078,0.0002576,0.0002576,0.0002576
90,12905.7,0.78053,0.40025,0.89781,0.91192,0.93917,0.96832,0.73685,0.97545,0.46804,0.95682,0.0002378,0.0002378,0.0002378
91,13477,0.75871,0.37665,0.88903,0.91381,0.94344,0.96435,0.7308,0.97757,0.46488,0.95877,0.000218,0.000218,0.000218
92,13765.5,0.75857,0.37576,0.89125,0.91613,0.93263,0.96783,0.72637,0.98321,0.47747,0.96103,0.0001982,0.0001982,0.0001982
93,13959.6,0.74635,0.37384,0.88954,0.9255,0.92636,0.96855,0.72841,0.98561,0.46526,0.96095,0.0001784,0.0001784,0.0001784
94,14149.3,0.74567,0.36822,0.88185,0.91223,0.92743,0.96502,0.72357,0.98506,0.47635,0.96091,0.0001586,0.0001586,0.0001586
95,14334.5,0.7392,0.36634,0.87779,0.92332,0.92526,0.96635,0.72601,0.98789,0.46976,0.96135,0.0001388,0.0001388,0.0001388
96,14518.5,0.73517,0.35982,0.88848,0.9183,0.92371,0.96776,0.7338,0.97864,0.46779,0.9588,0.000119,0.000119,0.000119
97,14706.6,0.73441,0.35966,0.8854,0.91268,0.9317,0.96775,0.73404,0.97328,0.46628,0.95767,9.92e-05,9.92e-05,9.92e-05
98,14892.6,0.72556,0.35624,0.88016,0.89658,0.95302,0.96702,0.72893,0.98486,0.46723,0.96199,7.94e-05,7.94e-05,7.94e-05
99,15165.3,0.72261,0.35626,0.87888,0.89637,0.95077,0.96618,0.72924,0.98437,0.46902,0.96282,5.96e-05,5.96e-05,5.96e-05
100,15488.1,0.71629,0.35626,0.88095,0.89414,0.95552,0.9675,0.72968,0.98403,0.4669,0.96233,3.98e-05,3.98e-05,3.98e-05
